Название проекта,Номер проекта,Статус 1 недели,Комментарий 1 недели,Статус 2 недели,Комментарий 2 недели,Статус 3 недели,Комментарий 3 недели,Статус 4 недели,Комментарий 4 недели
Практики и эксперименты спринта,17,Продвинул,"Ложился без экрана в 4 дня из 7. Фокусировался на проработке проекта в 3 дня из 7.
Очень помогло, внедряем оба.",Продвинул,"Начать день без смартфона - это не для меня пока, вот еженедельный обзор это моё",Грустно не трогал,"Я не выполнял практику. Я сегодня молодец.

И я не ковырялся в позже ни разу, но мне кажется, они не очень полезные",Грустно не трогал,вообще забыл про них и забил
Исправить Спину,21,Не трогал,"Надо сто процентов разбирать проект через метод Кати, но но вообще желания отсутствуют",Продвинул,"Купил рол, прокатываюсь. Длеаю мостик",Грустно не трогал,"1 из 7 Дней делал, лежа, мостик. ",Грустно не трогал,сложный вопрос для меня
самостоятельная практика английского - слушание и чтение,38,Продвинул,"Слушая контент по AI на английском, я купил книжку для чтения",Продвинул,Смотрел фильм на английском,Грустно не трогал,Из этого я только читал книгу.,Грустно не трогал,"не удалось на этом сфокуисироваться, возможно из-за отьезда "
Оформление inkedin и английского резюме,42,На стопе,,На стопе,,Грустно не трогал,Надо на следующей неделе уже этим проектом заняться.,Грустно не трогал,"планировать начать на это йнеделе но не успел, надо на след это сделать"
Инвестиционный план на 2026,41,Не трогал,"Просмотрел там, конечно, список возможный, но что-то тяжело выбрать что-то.",Не трогал,,Не трогал,,Грустно не трогал,"сейчас цены низкие, на до бы закупится на это неделе"
Ускорить работу через использование AI,39,Продвинул,"Начал смотреть курс. Все фичи делают через кодекс. Выписываю, что идет не так, какие проблемы возникают.
Изучаю новые промпты и инструменты",Продвинул,"на работе всё чере з AI делаю, использовал в Granola",Продвинул,Подключил хром МСП сервер для работы.,Грустно не трогал,как-то ничего нового не попробовал в работе
Купить биткойн,46,Не трогал,"Наверное, просто цветочки хотя бы куплю на этой неделе",Продвинул,"спросил у дениса и даниила, они у друзей посправшивали, пока тишина",Продвинул,"Посмотрел в **Astric Parter**, там ничего не нашел.

Почитал в **Astric Chat** про крипту, там нашел две платформы.

Буду пробовать на этой неделе купить биткоин там, спрошу у Бадди.",Грустно не трогал,
Гильдия nex-tick ,49,,,Продвинул,"Оплатил курс, посмторел вводное видео и стрим про формирование проблеммы",Продвинул,"Посмотрел два видео: первое — про то, как презентовать свои фичи, чтобы их имплементировали; второе — про ADR и почему это важно; а еще третье — про все виды других документов.

Ну, ничего не применил из этого.",Грустно не трогал,
Зарядка,8,Продвинул,Делал зарядку 5 из 7 дней. Очень хорошо все получается,Продвинул,4 из 7,Круто продвинул,7 из 7,Круто продвинул,6 из 7
Рефлексии (ежедневная\еженедельная\6 недель\спринт),16,Продвинул,"Круто в конце дня садиться, расписывать, что ты сделал, смотреть на свои проекты, планировать следующие задачи и фокусы. Каждый день я всё уносил в еженедельную, вот сейчас делаю.",Круто продвинул,"Отлично, каждый день заполняю логер и отвечаю на влпросы, планирую день. В конце недели итоги неделт",Круто продвинул,"Каждый день провожу, провожу, и еженедельную тоже сейчас",Круто продвинул,"пишу ежедневную записку, фиксирую всё в боте, в коцен дня и недлеи рефлексия"
